song,genre,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
20s,,0.6864754098360656,0.4184184184184184,-2.571428571428572,1.0,0.0281573498964803,0.1305220883534136,0.0,0.3661825726141078,0.4188640973630831,0.4315737777100374
"21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 5 (orch. Schmeling)",Classical,0.3278688524590164,0.1271271271271271,-5.3,0.0,0.0378881987577639,0.9327309236947792,0.8187311178247734,0.2593360995850622,0.2758620689655172,0.6115725922538908
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in F-Sharp Minor",Gospel,0.2325819672131147,0.0666666666666666,-7.233222591362126,0.0,0.0417184265010352,0.8343373493975903,0.3947633434038268,0.0860995850622406,0.2596348884381338,0.349574082541618
"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",Classical,0.3668032786885246,0.1671671671671671,-5.3156146179402,0.0,0.0366459627329192,0.9026104417670684,0.9667673716012084,0.1068464730290456,0.6095334685598377,0.6120383071686227
22,K pop,0.6577868852459017,0.6956956956956957,-1.8671096345514957,1.0,0.0290890269151138,0.0004447791164658,1.027190332326284e-05,0.0781120331950207,0.6511156186612577,0.4402445426679537
24,,0.8596311475409836,0.5255255255255256,-1.618936877076412,1.0,0.1356107660455486,0.0304216867469879,0.0,0.3132780082987552,0.8427991886409736,0.5757760503988214
24 Hours,Gospel,0.5245901639344263,0.7487487487487487,-2.437873754152824,1.0,0.0389233954451345,0.0911646586345381,0.0,0.2116182572614107,0.3427991886409736,0.6096589273315381
24/7,Classical,0.6014344262295082,0.7447447447447447,-1.5318936877076412,0.0,0.0768115942028985,0.0021385542168674,0.0018227593152064,0.1182572614107883,0.2393509127789046,0.503657978966621
26,K pop,0.6588114754098361,0.4584584584584584,-2.8691029900332223,1.0,0.0905797101449275,0.8122489959839359,0.0001510574018126,0.245850622406639,0.513184584178499,0.695016003657979
27,Jazz,0.6270491803278688,0.3623623623623623,-2.60797342192691,1.0,0.0317805383022774,0.6887550200803213,0.0,0.1151452282157676,0.4655172413793104,0.5929101254890007
27 Reasons,Country,0.5348360655737705,0.6246246246246246,-2.777076411960133,0.0,0.0334368530020703,0.1576305220883534,0.0060221550855991,0.262448132780083,0.356997971602434,0.5524098629951396
29,Video game music,0.7961065573770493,0.5975975975975976,-1.7026578073089702,1.0,0.0513457556935817,0.5120481927710844,0.0,0.1109958506224066,0.9127789046653144,0.566707310877407
29,Classical,0.4497950819672131,0.903903903903904,-1.5465116279069768,0.0,0.0716356107660455,0.0002690763052208,0.0,0.258298755186722,0.2789046653144016,0.6645921184101339
2AM,K pop,0.5163934426229508,0.2672672672672673,-4.544186046511628,0.0,0.4202898550724638,0.4397590361445783,0.0,0.146265560165975,0.3975659229208925,0.3554928957306643
2chijou,Latin,0.4907786885245901,0.4764764764764764,-4.059136212624585,1.0,0.0528985507246376,0.1345381526104417,0.4269889224572004,0.0975103734439834,0.2778904665314402,0.5084717776761672
