song,genre,bpm,energy,danceability,loudness,speechiness,acousticness,liveness,valence,popularity
Cleanin' Out My Closet,Folk,0.7184466019417476,0.76,0.9479166666666666,2.5,0.3090909090909091,0.0707070707070707,0.0808080808080808,0.8787878787878788,0.71
Der Weg,R&B,0.6893203883495146,0.24,0.3541666666666667,5.5,0.0727272727272727,0.9292929292929292,0.1212121212121212,0.1919191919191919,0.48
7 Seconds (feat. Neneh Cherry),Country,0.7475728155339806,0.7,0.7083333333333334,5.0,0.0545454545454545,0.0808080808080808,0.3333333333333333,0.5151515151515151,0.59
The Scientist,Folk,0.7087378640776699,0.44,0.5833333333333334,3.5,0.0363636363636363,0.7373737373737373,0.1111111111111111,0.2121212121212121,0.84
Big Log - 2006 Remaster,Hip hop,0.8786407766990292,0.59,0.5833333333333334,4.5,0.0545454545454545,0.3232323232323232,0.202020202020202,0.6868686868686869,0.57
Chasing Pavements,Video game music,0.3883495145631068,0.47,0.6458333333333334,3.0,0.0545454545454545,0.3131313131313131,0.1111111111111111,0.3333333333333333,0.63
Don't Know Why,Hip hop,0.4271844660194174,0.2,0.7604166666666666,6.0,0.0545454545454545,0.8888888888888888,0.0707070707070707,0.6262626262626263,0.74
Tears Dry On Their Own,R&B,0.5922330097087378,0.87,0.6666666666666666,1.5,0.2181818181818181,0.494949494949495,0.2929292929292929,0.4545454545454545,0.72
The Eyes of Jenny,Latin,0.5776699029126213,0.53,0.7083333333333334,6.0,0.0727272727272727,0.3434343434343434,0.0808080808080808,0.6868686868686869,0.44
Iris,Classical,0.7572815533980582,0.79,0.3020833333333333,3.0,0.0727272727272727,0.0,0.0808080808080808,0.5151515151515151,0.75
The Saints Are Coming,K pop,0.7378640776699029,0.81,0.3333333333333333,3.5,0.0909090909090909,0.0808080808080808,0.1515151515151515,0.1212121212121212,0.4
All My Life,EDM,0.8155339805825242,0.6,0.6041666666666666,3.0,0.0909090909090909,0.0,0.4848484848484848,0.6565656565656566,0.72
De Weg,Hip hop,0.3495145631067961,0.21,0.4791666666666667,5.5,0.0545454545454545,0.9191919191919192,0.1111111111111111,0.2626262626262626,0.42
Don't Let Me Be Misunderstood,K pop,0.5728155339805825,0.82,0.6979166666666666,4.5,0.1454545454545454,0.0303030303030303,0.0505050505050505,0.7878787878787878,0.59
Traffic - Radio Edit,K pop,0.6699029126213593,0.64,0.7395833333333334,5.0,0.1636363636363636,0.0,0.1919191919191919,0.101010101010101,0.53
Take Me Out,Gospel,0.5097087378640777,0.68,0.2916666666666667,4.5,0.0727272727272727,0.0,0.1414141414141414,0.494949494949495,0.74
