song,genre
Cyclone (feat. T-Pain),Rap
Lights (2024 Remaster),Rock
Two Black Cadillacs,Country
Thinking Out Loud,Pop
Live Like We're Dying,Pop
Madness,K pop
"Me, Myself & I",Hip hop
"Me, Myself & I",Rap
Work from Home (feat. Ty Dolla $ign),Pop
Last Name,Country
Hypnotize,Hip hop
Hypnotize,Rap
I Like It,Hip hop
I Like It,Rap
Burn It to the Ground,Rock
The Fox (What Does the Fox Say?),Pop
Two Is Better Than One (feat. Taylor Swift),K pop
Please Don't Go,Pop
Gorilla,Pop
Elastic Heart,Pop
Iris,Rock
Do I Wanna Know?,Jazz
This Afternoon,Rock
Mr. Know It All,Pop
Perfect,Pop
Killing In the Name,Rock
Get Low (feat. Ying Yang Twins),EDM
Just a Dream,Country
NO,Pop
Time of Our Lives,Pop
Enter Sandman,Metal
Mine Would Be You,Country
"Sweetest Girl (Dollar Bill) [feat. Akon, Lil Wayne & Niia]",Rock
Haunted,Pop
Blue (feat. Blue Ivy),Pop
This Is What You Came For,Classical
Somethin' Bad (with Carrie Underwood) [Duet Version],Country
Savin' Me,Rock
Rocket,Pop
Black or White,Pop
Blow,Pop
Barefoot Blue Jean Night,Country
If U Seek Amy,Pop
One Step At a Time,Pop
Love Like Woe,Pop
Jealous,Pop
Sure Be Cool If You Did,Country
Say You Won't Let Go,Pop
Beat of the Music,Country
Meant to Be,Pop
Heaven,Pop
The Time of My Life,Pop
Ass Back Home (feat. Neon Hitch),Pop
Thunderstruck,Rock
See You Again,Country
Untouched,Pop
Watching You,Country
Christmas / Sarajevo 12/24 (Instrumental),Gospel
If Everyone Cared,Rock
Roses (feat. ROZES),Folk
Superpower (feat. Frank Ocean),Pop
Just the Way You Are,Pop
Beachin',Country
Everytime We Touch (Radio Mix),Jazz
Damaged,Pop
Give In to Me,Hip hop
No Angel,Pop
Count on Me,Pop
The Man Who Can't Be Moved,Pop
Old Town Road (feat. Billy Ray Cyrus) [Remix],Country
Who's Crying Now (2024 Remaster),Rock
Good Girls Go Bad (feat. Leighton Meester),Jazz
Magic,EDM
Gravity,EDM
Gravity,Rock
Never Enough,Rap
Love Drunk,Video game music
Heartbreak Warfare,Rock
Young Girls,Pop
We Didn't Start the Fire,Rock
Jumper,EDM
Starstrukk,Metal
Bad,Pop
Rewrite the Stars,Country
All I Want for Christmas Is You,Rock
The Greatest Show,Latin
Footloose,Metal
Live While We're Young,Pop
Music,Pop
So What,Pop
Rock Your Body,Pop
Superstar (feat. Matthew Santos),Hip hop
Superstar (feat. Matthew Santos),Rap
Float On,Latin
Little Things,Pop
Tongue Tied,Jazz
Anyone Else But You,Pop
Give Me Love,Pop
The Final Countdown,Rock
Eye of the Tiger,Rock
Me Too,Pop
Show Me (feat. Chris Brown),Hip hop
Show Me (feat. Chris Brown),Rap
Shower,Pop
679 (feat. Monty),Hip hop
679 (feat. Monty),Rap
Temporary Home,Country
Only the Young (2024 Remaster),Rock
Black and Yellow,Hip hop
Black and Yellow,Rap
Hello,Jazz
How You Remind Me,Rock
Brokenhearted,Pop
Never Gonna Be Alone,Rock
If You're Reading This (Recorded Live at the 2007 Academy of Country Music Awards),Country
Slow Dancing in a Burning Room,Pop
Nine In the Afternoon,Hip hop
Adventure of a Lifetime,R&B
Drag Me Down,Pop
Toxic,Pop
Come Over,Country
Rock With You (Single Version),Pop
Sweet Disposition,Folk
"Best Song Ever (from ""This Is Us"")",Pop
A Million Dreams,Gospel
Tonight (Best You Ever Had) [feat. Ludacris],Classical
Black Betty,Rock
Juicy (2005 Remaster),Hip hop
Juicy (2005 Remaster),Rap
Glitter In the Air,Pop
BURN IT DOWN,Rock
Talk Dirty (feat. 2 Chainz),Pop
Lost Boy,Hip hop
Lost Boy,Jazz
A Country Boy Can Survive,Country
Life After You,Rock
Feel It Still,EDM
I Drive Your Truck,Country
Give Life Back to Music,Pop
Wop (Official Version),Hip hop
Wop (Official Version),Rap
You & I,Pop
Send Her My Love (2024 Remaster),Rock
Purple Rain,Pop
Dirty Diana,Pop
Alone with You,Country
Sugar (feat. Wynter),Hip hop
Sugar (feat. Wynter),Rap
All Summer Long,Rock
Clair de Lune (Bonus Track),K pop
If You Only Knew,Rock
Are You Gonna Be My Girl,Rock
Headstrong,Rock
"Just Like Fire (From ""Alice Through the Looking Glass"")",Pop
Cheap Thrills (feat. Sean Paul),Pop
"Whenever, Wherever",Latin
A Little Bit Stronger,Country
Show Me (feat. Chris Brown),Hip hop
Show Me (feat. Chris Brown),Rap
Shower,Pop
679 (feat. Monty),Hip hop
679 (feat. Monty),Rap
Temporary Home,Country
Only the Young (2024 Remaster),Rock
Black and Yellow,Hip hop
Black and Yellow,Rap
Hello,Video game music
How You Remind Me,Rock
Brokenhearted,Pop
Never Gonna Be Alone,Rock
If You're Reading This (Recorded Live at the 2007 Academy of Country Music Awards),Country
Slow Dancing in a Burning Room,Pop
Nine In the Afternoon,Metal
Adventure of a Lifetime,Metal
Drag Me Down,Pop
Toxic,Pop
Come Over,Country
Rock With You (Single Version),Pop
Sweet Disposition,K pop
"Best Song Ever (from ""This Is Us"")",Pop
A Million Dreams,EDM
Tonight (Best You Ever Had) [feat. Ludacris],Gospel
Black Betty,Rock
Juicy (2005 Remaster),Hip hop
Juicy (2005 Remaster),Rap
Glitter In the Air,Pop
BURN IT DOWN,Rock
Talk Dirty (feat. 2 Chainz),Pop
Lost Boy,Pop
Lost Boy,Pop
A Country Boy Can Survive,Country
Life After You,Rock
Feel It Still,Metal
I Drive Your Truck,Country
Give Life Back to Music,Pop
Wop (Official Version),Hip hop
Wop (Official Version),Rap
You & I,Pop
Send Her My Love (2024 Remaster),Rock
Purple Rain,Pop
Dirty Diana,Pop
Alone with You,Country
Sugar (feat. Wynter),Hip hop
Sugar (feat. Wynter),Rap
All Summer Long,Rock
Clair de Lune (Bonus Track),Pop
If You Only Knew,Rock
Are You Gonna Be My Girl,Rock
Headstrong,Rock
"Just Like Fire (From ""Alice Through the Looking Glass"")",Pop
Cheap Thrills (feat. Sean Paul),Pop
"Whenever, Wherever",Latin
A Little Bit Stronger,Country
Best Days of Your Life,Country
Hell On Heels,Country
When You Love a Woman (2024 Remaster),Rock
The Funeral,Hip hop
Animals,Rock
Love Like Crazy,Country
I'll Be Alright Without You (2024 Remaster),Rock
Budapest,Lofi
Budapest,EDM
Time to Pretend,Pop
Chop Suey!,Rock
Half of My Heart,Rock
Ain't Worth the Whiskey,Country
"My Little Girl (From ""My Friend Flicka"")",Country
When Doves Cry,Pop
"Mary, Did You Know?",Folk
True Love (feat. Lily Allen),Pop
First of the Year (Equinox),Jazz
Kiss You,Pop
She's Everything,Country
Closer (feat. Halsey),Hip hop
From Now On,EDM
Don't Take the Girl,Country
The Other Side,R&B
Dreams,Rock
Girl Can't Help It (2024 Remaster),Rock
Kiss Me,Pop
I Like It Like That (feat. New Boyz),Pop
Midnight Memories,Pop
If It's Love,Pop
Where'd You Go (feat. Holly Brook & Jonah Matranga),Hip hop
Where'd You Go (feat. Holly Brook & Jonah Matranga),Rap
Eye of the Tiger,Rock
Whatcha Say,Pop
Human Nature (Single Version),Pop
Kyoto (feat. Sirah),Folk
Alexander Hamilton,R&B
"Jesus, Take the Wheel",Pop
Car Radio,Hip hop
Doin' What She Likes,Country
Be Good to Yourself (2024 Remaster),Rock
The Fighter (feat. Ryan Tedder),Pop
Nothin' On You (feat. Bruno Mars),Hip hop
Nothin' On You (feat. Bruno Mars),Rap
High Hopes,Country
Fidelity,Country
Something In Your Mouth,Rock
Funhouse,Pop
Broccoli (feat. Lil Yachty),Hip hop
Broccoli (feat. Lil Yachty),Rap
Ask the Lonely (2024 Remaster),Rock
Felt Good On My Lips,Country
Wing$,Hip hop
Wing$,Rap
Come Alive,R&B
Oceans (Where Feet May Fail),Rap
Jar of Hearts,Pop
Hymn for the Weekend,Latin
Galway Girl,Pop
"Young, Wild & Free (feat. Bruno Mars)",Classical
My Eyes (feat. Gwen Sebastian),Country
Letting Go (Dutty Love) [feat. Nicki Minaj],Pop
Rise Up,R&B
Rise Up,Folk
Since U Been Gone,Pop
Through the Fire and Flames,Metal
Nothing,Pop
Sangria,Country
Wanna Be Startin' Somethin' (Single Version),Pop
