song,genre
8TEEN,R&B
8TEEN,Gospel
Drip Drop (feat. Yazz & Serayah),Pop
Forty Hour Week (For a Livin'),Country
ocean eyes,Country
Can't Help But Wait,Classical
September,Rock
Carousel,Gospel
P.S. I Love You,EDM
No Other Love,R&B
Love You 'Till the End,Metal
"Lover, Lover",Country
There's No Way,Country
Tonight the Heartache's on Me,Country
King of the Earth,Rock
Kisses and Cake,Rock
I Want to Hold Your Hand (Glee Cast Version),Pop
Dear Theodosia (feat. Ben Folds),Video game music
To Be Loved,Pop
Ziggy Stardust,Rock
Lemon Drop,Country
Lucky Star,Pop
Save Your Tears,R&B
Save Your Tears,Lofi
In God We Trust,Hip hop
In God We Trust,Rap
Shot In the Dark,Metal
Lydia,Rock
House On Fire,Pop
Look Up Child,Lofi
Burn,R&B
Burn,Rap
Congratulations,Hip hop
Congratulations,Rap
C'mon C'mon,Rock
I Own You (Bonus Track),Rock
Look Around,Lofi
Let Me Down,Pop
Use Me,R&B
Use Me,Metal
Dig,Rock
You Had Me at Hello,Rock
Holy Water,Country
W.D.Y.W.F.M?,Classical
Rich & Famous (feat. Louie V),Hip hop
Rich & Famous (feat. Louie V),Rap
Human Nature,Video game music
Caraphernelia,Folk
Feathered Indians,Country
Lean On Me,Rock
Guilty All the Same (feat. Rakim),Rock
Lying from You,Rock
Voices,Country
Walk It Out (Remix) [feat. OutKast & Jim Jones],Hip hop
Walk It Out (Remix) [feat. OutKast & Jim Jones],Rap
Born to Fly,Country
Colossal,Hip hop
Colossal,Rap
I Kissed a Girl,Pop
Holding Back the Years,Pop
Footprints,Pop
My All,Pop
Off He Goes,Jazz
Sick in the Head,EDM
"Houston, We Got a Problem",Country
"1, 2 Many",Country
The What (2005 Remaster),Hip hop
The What (2005 Remaster),Rap
Lion and the Lamb (Live),Gospel
"What Was I Made For? (From The Motion Picture ""Barbie"")",K pop
Clocks,Lofi
Alleyways,Rap
South Side,Rock
The Monkees (Theme Song from the Show),Pop
Ghost In the Machine,Hip hop
Ghost In the Machine,Rap
Anthem of Our Dying Day,Pop
Time for Me to Fly,Rock
Do You Wanna Touch Me (Oh Yeah) [Glee Cast Version] {feat. Gwyneth Paltrow},Pop
Like a Rolling Stone,Rock
Settle for Nothing,Rock
Burning Heart,Lofi
My Give a Damn's Busted,Country
Bad Company,Rock
Holdin' Her,Country
Everyday Struggle (2005 Remaster),Hip hop
Everyday Struggle (2005 Remaster),Rap
Final Masquerade,Rock
Once (2004 Remix),Country
Lifestyles of the Rich & Famous,Metal
Rotation (feat. Wiz Khalifa & 2 Chainz),Hip hop
Rotation (feat. Wiz Khalifa & 2 Chainz),Rap
Somebody's Heartbreak,Country
Tell Me That You Love Me (feat. Victoria Justice & Leon Thomas III),Pop
A Thousand Years,Lofi
Blue Eyes Crying in the Rain,Country
1979,Rock
Pictures of You,Latin
Funny Honey,Gospel
Right Here (Departed),R&B
Right Here (Departed),Video game music
Wonder (Live) [Spontaneous],Gospel
Tamale,Rap
Better in Boots,Country
Bold As Love,Rock
"He Ain't Heavy, He's My Brother",Rock
Check the Rhime,Hip hop
Check the Rhime,Rap
I Will Be Found (Lost At Sea),Rock
Mmm Mmm Mmm Mmm,Rock
You Already Know,Pop
Badge and Gun,Rock
Dangerous,Country
Breakfast In Bed,Pop
Animus Vox,Jazz
Half Moon Bay (Bonus Track),Pop
"Love, Me",Country
Hound Dog,Rock
Bulletproof Love,Video game music
Need U Bad,R&B
Need U Bad,Rock
Misty Mountain Hop,Rock
Rotation,Hip hop
Rotation,Rap
Rock and Roll,Rock
Xanny Family,Hip hop
Xanny Family,Rap
Quit Playing Games (With My Heart),Pop
One Wish,R&B
One Wish,Rock
Alcohaulin'Ass,Metal
Life By the Drop,Rock
Young At Heart,Pop
Move Your Feet,Pop
Burning Man (feat. Brothers Osborne),Country
Dey Know,Hip hop
Dey Know,Rap
Half of My Heart,Rock
Love Don't Cost a Thing,R&B
Love Don't Cost a Thing,EDM
Do the Evolution,EDM
iT’s YoU,Pop
My Front Porch Looking In,Country
Go,Video game music
Have I Told You Lately That I Love You (with Naturally 7),Pop
Cowgirls (feat. ERNEST),Country
"Anything, Anything",Rock
Centipede,Folk
Broken Glass,Pop
Almost Easy (Jam-Along Version),Rock
Hello,Pop
Feel It (Three 6 Mafia vs. Tiesto) [with Sean Kingston & Flo Rida],Hip hop
Feel It (Three 6 Mafia vs. Tiesto) [with Sean Kingston & Flo Rida],Rap
Everyone Requires a Plan (Bonus Track),Latin
That Would Be Enough,R&B
That Would Be Enough,Lofi
Girlfriend Is Better,Country
Fast Car (2015 Remastered),EDM
Fast Car (2015 Remastered),Rap
Here With Me,Pop
"America, F**k Yeah",Gospel
The Heart,Rock
Warning,Country
Last of the American Girls,Rap
In My Feelings,Hip hop
In My Feelings,Rap
Hearts Burst Into Fire,Rock
Country A$$ Shit,Country
Days of Gold,Country
Washingtons By Your Side,Hip hop
Washingtons By Your Side,Rap
I Saw the Light,Rock
Baby Shark,Metal
Cure for the Itch,Rock
Next 2 You,Rock
Monarchy of Roses,Folk
"Atlas, Rise!",Metal
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Hip hop
Been Caught Stealing,Rock
Cell Block Tango / He Had It Comin' (feat. Lil' Kim & Macy Gray),Pop
Do the Evolution,EDM
iT’s YoU,Pop
My Front Porch Looking In,Country
Go,EDM
Have I Told You Lately That I Love You (with Naturally 7),Pop
Cowgirls (feat. ERNEST),Country
"Anything, Anything",Rock
Centipede,Rap
Broken Glass,Pop
Almost Easy (Jam-Along Version),Rock
Hello,Pop
Feel It (Three 6 Mafia vs. Tiesto) [with Sean Kingston & Flo Rida],Hip hop
Feel It (Three 6 Mafia vs. Tiesto) [with Sean Kingston & Flo Rida],Rap
Everyone Requires a Plan (Bonus Track),Country
That Would Be Enough,R&B
That Would Be Enough,Rap
Girlfriend Is Better,Country
Fast Car (2015 Remastered),Metal
Fast Car (2015 Remastered),Latin
Here With Me,Pop
"America, F**k Yeah",Folk
The Heart,Rock
Warning,Country
Last of the American Girls,Pop
In My Feelings,Hip hop
In My Feelings,Rap
Hearts Burst Into Fire,Rock
Country A$$ Shit,Country
Days of Gold,Country
Washingtons By Your Side,Hip hop
Washingtons By Your Side,Rap
I Saw the Light,Rock
Baby Shark,Latin
Cure for the Itch,Rock
Next 2 You,Rock
Monarchy of Roses,Gospel
"Atlas, Rise!",Metal
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Hip hop
Been Caught Stealing,Rock
Cell Block Tango / He Had It Comin' (feat. Lil' Kim & Macy Gray),Country
Groupies,Hip hop
Groupies,Rap
Lady Down On Love,Country
Hotel Key,Country
Love Never Felt So Good,Pop
Billionaire (Glee Cast Version),Pop
When You Say Nothing At All,Country
Money For Nothing (feat. Jussie Smollett & Yazz),Pop
Hotel Song,K pop
Down In the DM (feat. Nicki Minaj) [Remix],Hip hop
Down In the DM (feat. Nicki Minaj) [Remix],Rap
Empire State of Mind (Glee Cast Version),Pop
Bend Ova (feat. Tyga),Latin
1+1,Pop
Happy Song,Rock
Not for You,Lofi
Cry for Help,Rock
You'll Be Back,Metal
Man In the Mirror,K pop
Live to Tell (Edit Version),Pop
History Has Its Eyes On You,R&B
History Has Its Eyes On You,K pop
On My Way to You,Country
Take Me Down,Country
Payback,Hip hop
Payback,Rap
Rosanna,Rock
Whatever It Takes,Rock
Beyond the Veil,K pop
Hearts on Fire,K pop
That's Why I'm Here,Country
ATWA,Rock
Smooth,Rock
Rock On,Rock
I Love Me,Pop
Coastal,Country
When Christmas Comes to Town,Rap
Crazy (James Michael Mix),Pop
Panbowl (Bonus Track),Country
How,K pop
I'm On Fire,Rock
Cabinet Battle 3 (Demo),Hip hop
Cabinet Battle 3 (Demo),Rap
The House Is Rockin',Rock
Come Dance With Me,Pop
Who Tells Your Story (feat. Common & Ingrid Michaelson),Hip hop
Who Tells Your Story (feat. Common & Ingrid Michaelson),Rap
Blue Christmas,Gospel
Semi-Charmed Life,Rap
"Corazón Espinado (feat. Maná, Maná & Santana)",Rock
Santa Baby,Metal
Come and Get Your Love,Rock
Say Yes to This,R&B
Say Yes to This,Rap
"Jesus, We Love You (Live)",R&B
Here for the Party,Country
Already Taken,Folk
Angel,Rock
About Damn Time,Pop
Can't Stop Me (Club Mix),Classical
Peace of Mind,Rock
Fool for You (feat. Melanie Fiona),R&B
Fool for You (feat. Melanie Fiona),Jazz
Ghetto Supastar (That Is What You Are),Hip hop
Ghetto Supastar (That Is What You Are),Rap
Jungle Love,R&B
Jungle Love,Video game music
Excuse Me,Hip hop
Excuse Me,Rap
In the Aeroplane Over the Sea,Pop
Diva,Pop
Material Girl (Edit Version),Pop
Who You're Around (feat. Mary J. Blige),Hip hop
Who You're Around (feat. Mary J. Blige),Rap
Have It All (Live),Hip hop
An Open Letter (feat. Shockwave) [Interlude],Hip hop
An Open Letter (feat. Shockwave) [Interlude],Rap
"Maybach Curtains (feat. Nas, John Legend & Rick Ross)",Hip hop
"Maybach Curtains (feat. Nas, John Legend & Rick Ross)",Rap
All I Want,Rock
A Little Light,Country
Chariot,Pop
Papa Don't Preach (Edit Version),Pop
Freedom,Rock
Lowlife,Rock
Killpop,Metal
Valley Forge (Demo),Hip hop
Valley Forge (Demo),Rap
Juju on That Beat,Hip hop
Midnight Summer Jam,Pop
Lookin Boy,Hip hop
Lookin Boy,Rap
Hey You,Rock
Wouldn't It Be Nice,Pop
Ego (Remix) [feat. Kanye West],Latin
Neon Eyes,Country
Blunderbuss,Metal
The Only Exception (Glee Cast Version),Pop
Fly Me to the Moon,Pop
Come Join the Murder (From Sons of Anarchy),R&B
Romeo and Juliet,Rock
Waking the Demon,Rock
Oh Ms. Believer,Rock
You Gotta Be,R&B
You Gotta Be,Folk
Cyanide Sweet Tooth Suicide,Rock
"Long, Long Way from Home",Rock
If I Die Young (Glee Cast Version),Pop
Ain't Nothing 'Bout You,Country
After All (feat. Bryan Adams),Pop
Take a Break (Interlude),Hip hop
Take a Break (Interlude),Rap
Hannah,Rock
The One,R&B
The One,Latin
The Box,Hip hop
The Box,Rap
If You Could Read My Mind,Classical
If You Could Read My Mind,Pop
Immigrant Song,Rock
I Was Here,Pop
Dancing in the Sky,Pop
Are You Lonesome Tonight?,Rock
No John Trumbull (Intro),Hip hop
No John Trumbull (Intro),Rap
Cat Scratch Fever,Rock
Fantasy,Rock
Me On Whiskey,Country
The Point of It All,R&B
The Point of It All,Rock
She Bad,Hip hop
She Bad,Rap
Ain't No Sunshine,R&B
Ain't No Sunshine,Rap
Montana,Pop
I Ran (So Far Away),Pop
Fuel,Metal
Burn,Rock
Extraordinary Merry Christmas,Latin
Seek & Destroy (2016 Remastered Version),Metal
Stay Alive (Interlude),Hip hop
Stay Alive (Interlude),Rap
Don't Be Cruel,Rock
Business Time,R&B
"Would've, Could've, Should've",Pop
Will I,EDM
Difference Maker,Rock
Get Out Alive,Rock
Little Sister,Rock
Chasin' That Neon Rainbow,Country
Apple Pie Moonshine,Country
Can't Hold Us (feat. Ray Dalton),Hip hop
Can't Hold Us (feat. Ray Dalton),Rap
Milk and Cookies,Latin
One More Chance (2005 Remaster),Hip hop
One More Chance (2005 Remaster),Rap
Dear Theodosia (Reprise),Hip hop
Dear Theodosia (Reprise),Rap
What You Do to Me,Country
Raise It Up,R&B
Runaway,Pop
So Alive,Rock
Some Hearts,Pop
Justify My Love,Pop
"Sugar, Sugar",Pop
We Will Not Be Shaken (Live),EDM
Livin' Thing,Rock
Time (feat. Monty),Hip hop
Time (feat. Monty),Rap
All the Wild Horses,Rock
Rock Me,Pop
Love Me Tender,Rock
Monsters,Rap
Higher Higher,Pop
A Beautiful Morning,Rock
Doses & Mimosas,Country
Bach / Break,Pop
Summer Love,Pop
I Would,Pop
Arena (feat. Chris Brown & T. I. ),Hip hop
Arena (feat. Chris Brown & T. I. ),Rap
Space Between,Pop
Stone Free,Rock
You Can't Win,Pop
Only Thing That's Gone (feat. Chris Stapleton),Country
Freak the Freak Out (feat. Victoria Justice),Pop
Freak Show (feat. Sam Sneak & 2 Chainz) [Bonus Track],Hip hop
Freak Show (feat. Sam Sneak & 2 Chainz) [Bonus Track],Rap
Up Down (feat. Florida Georgia Line),Country
Under the Influence,Gospel
Machine Gun Funk (2005 Remaster),Hip hop
Machine Gun Funk (2005 Remaster),Rap
Time After Time,Pop
No Apologies (feat. Jussie Smollett & Yazz),Pop
Dirty White Boy,Rock
Mr. Perfectly Fine (Taylor’s Version) [From The Vault],Country
The Mall and Misery,Gospel
Diary,Rock
Milk and Cookies,Lofi
Dear Theodosia (Reprise),Hip hop
Dear Theodosia (Reprise),Rap
One More Chance (2005 Remaster),Hip hop
One More Chance (2005 Remaster),Rap
Raise It Up,Latin
What You Do to Me,Country
Runaway,Pop
So Alive,Rock
Some Hearts,Pop
Justify My Love,Pop
"Sugar, Sugar",Pop
We Will Not Be Shaken (Live),Classical
Livin' Thing,Rock
Time (feat. Monty),Hip hop
Time (feat. Monty),Rap
All the Wild Horses,Rock
Rock Me,Pop
Love Me Tender,Rock
Monsters,Latin
Higher Higher,Pop
A Beautiful Morning,Rock
Doses & Mimosas,Hip hop
Bach / Break,K pop
Summer Love,Pop
I Would,Pop
Space Between,Pop
Arena (feat. Chris Brown & T. I. ),Hip hop
Arena (feat. Chris Brown & T. I. ),Rap
Stone Free,Rock
You Can't Win,Pop
Only Thing That's Gone (feat. Chris Stapleton),Country
Freak the Freak Out (feat. Victoria Justice),Pop
Freak Show (feat. Sam Sneak & 2 Chainz) [Bonus Track],Hip hop
Freak Show (feat. Sam Sneak & 2 Chainz) [Bonus Track],Rap
Up Down (feat. Florida Georgia Line),Country
Under the Influence,Rap
Machine Gun Funk (2005 Remaster),Hip hop
Machine Gun Funk (2005 Remaster),Rap
Time After Time,Pop
No Apologies (feat. Jussie Smollett & Yazz),Pop
Dirty White Boy,Rock
Mr. Perfectly Fine (Taylor’s Version) [From The Vault],Country
The Mall and Misery,Latin
Diary,Rock
The Way You Make Me Feel,Folk
Nights Are Forever Without You,Pop
St. Augustine,K pop
Proud Mary (1993 Version),R&B
Proud Mary (1993 Version),Classical
Count On You (feat. Jordin Sparks),Pop
Telephone Line,Rock
Blood,Lofi
Save the Last Dance For Me,Pop
Diggin' Up Bones,Country
AA,Country
Who Are You,Pop
Living In the Moment,Pop
Dancing In the Moonlight (2001 Remix),Latin
Rusty Halo,Pop
In the Ghetto,Rock
Who Made Who,Rock
In the Mood,Rock
Do They Know It's Christmas?,Metal
Break On Through (To the Other Side),Rock
Gone Forever,Rock
Heart of Courage,Folk
All You've Ever Wanted,Gospel
Young Man,Pop
Inside Your Heaven,Pop
"Symphony No. 9 in D Minor, Op. 125 ""Choral"": II. Molto vivace",Classical
Fall Away,Rock
Joy to the World,Classical
In the Ayer (feat. Will.I.am),Hip hop
In the Ayer (feat. Will.I.am),Rap
The Rest of Our Life,Country
Dolly Dagger,Rock
Psycho,Video game music
Please Come Home for Christmas,Rock
We Belong (2002 Remaster),Rock
Sauce,Pop
Broken,Video game music
This Woman's Work (Remastered 2021),R&B
This Woman's Work (Remastered 2021),Country
Like the Rain,Country
Fame,Pop
Close My Eyes Forever,Rock
Lil Boo Thang,Pop
I Wish (feat. T.I.),Pop
S.O.S. (Let the Music Play),Pop
Blank Space,Rock
When the Music's Over,Rock
It Don't Matter to Me,Rock
Sin with a Grin,Rock
I Get the Bag (feat. Migos),Hip hop
I Get the Bag (feat. Migos),Rap
Sailing to Nowhere,Jazz
A Moment Like This,Pop
I'll Be,Pop
Scenario (LP Mix),Hip hop
Scenario (LP Mix),Rap
Lil One,Hip hop
Lil One,Rap
Pop! Goes My Heart,Rock
Black Sun,R&B
Wish You Were Here,Country
Single Ladies (Put a Ring On It),R&B
You,Hip hop
Both Sides Now,Classical
Both Sides Now,Folk
Lost in Japan,Pop
I Can't Make You Love Me,Rock
Universe & U,Rock
"Listen (From ""Dreamgirls"")",Pop
Staying Up,Rap
679 (feat. Monty),Hip hop
679 (feat. Monty),Rap
ROCKSTAR (feat. Roddy Ricch),Hip hop
ROCKSTAR (feat. Roddy Ricch),Rap
No Air (Duet With Chris Brown),Pop
The Hard Stuff,Pop
Down Home Boys,Country
Slow Jamz (feat. Kanye West & Jamie Foxx),Hip hop
Slow Jamz (feat. Kanye West & Jamie Foxx),Rap
Swayin',Country
Miss Independent,Pop
Don't Be Cruel,Rock
A Dozen Roses and a Six-Pack,Country
When I Look to the Sky,Rock
Don't You Know You're Beautiful,Country
Who You Are,Jazz
Teddy Bear,EDM
Out the Mud,Hip hop
Out the Mud,Rap
I Can Love You Like That,Country
People Are Strange,Rock
Addict With a Pen,Rock
Friends (From the Angry Birds Movie),Country
The First Time Ever I Saw Your Face,Rock
Whip It,Video game music
Man Made A Bar (feat. Eric Church),Country
Wonderin' Bout the Wind,Country
Money for Nothing,Rock
I Feel for You,R&B
I Feel for You,Latin
Headstrong,Pop
Put Your Lights On (feat. Everlast),Rock
Dream Weaver,Rock
Your Bartender,Country
Gloria (Single Version),Pop
Sleeping to Dream (Live),Pop
Heaven,Country
"Hail, Hail",R&B
Light Years,Jazz
Lost,Hip hop
Lost,Rap
I Need You (With Tim McGraw),Country
The Great War,Pop
"Not Ready to Die (From ""Call of the Dead"")",Rock
Gotta Get Me Some,Rock
Give It 2 Me (Paul Oakenfold Edit),Pop
Be My Baby,Folk
Lifesong,R&B
Quittin' Time,Country
Could It Be I'm Falling In Love,R&B
Could It Be I'm Falling In Love,R&B
Time of Our Lives,Pop
joy.,Metal
Kyrie,Pop
Sag My Pants,Hip hop
Sag My Pants,Rap
Watch the Wind Blow By,Country
Wait,Rap
Maggie's Song,Country
Crying in the Club,Pop
Saved,R&B
Saved,Rock
Trap Doors,Country
Get Up 10,Hip hop
Get Up 10,Rap
Eclipse,Rock
Don't Stop Me Now,Rock
What Are You Waiting For,Rock
Torn to Pieces,Rock
Tangled Up In You,Rock
Paris,Pop
Jam,Classical
Sweet Design,Pop
Tired of Dreaming (feat. Ne-Yo & Rick Ross),Hip hop
Tired of Dreaming (feat. Ne-Yo & Rick Ross),Rap
I'd Die Without You,Hip hop
I'd Die Without You,Rap
Volcano (American Idol Performance),Pop
Deer Dance,Rock
East Jesus Nowhere,Rock
Hurricane,Country
Falling Away from Me,Rock
Jealous,Pop
Fly Away,Rock
Whiskey’d My Way,Country
Long Gone and Moved On,Pop
So Far Away,Rock
We Run This,Hip hop
We Run This,Rap
Bullet and a Target,Pop
No One Else On Earth,Country
Drive It Like You Stole It,Classical
Hers (Interlude),Pop
Remember When,Country
Weightless,Latin
Hypocritical Kiss,Folk
Does Anybody Hear Her,K pop
Wild Horses,Pop
Breeze Off the Pond,Pop
Flannel,Pop
Angels,R&B
Tightrope (feat. Big Boi),R&B
Tightrope (feat. Big Boi),Metal
Whitehouse Road,Country
Shake Your Body (Down to the Ground) [Single Version],Rock
Dancing In the Street,Rock
This Ole Boy,Country
High Infidelity,Pop
Livin' Off the Land,Pop
Oops!...I Did It Again,Pop
Wave,Pop
Nothing Even Matters,Pop
Drive It Like You Stole It,Video game music
Hers (Interlude),Pop
Remember When,Country
Weightless,Country
Hypocritical Kiss,Rock
Does Anybody Hear Her,Video game music
Wild Horses,Pop
Breeze Off the Pond,Pop
Flannel,Pop
Angels,Classical
Tightrope (feat. Big Boi),R&B
Tightrope (feat. Big Boi),Lofi
Whitehouse Road,Country
Shake Your Body (Down to the Ground) [Single Version],Gospel
Dancing In the Street,Rock
This Ole Boy,Country
High Infidelity,Pop
Livin' Off the Land,Pop
Oops!...I Did It Again,Pop
Wave,Pop
Nothing Even Matters,Pop
Valentine,Country
Outlaw (feat. Ben Burgess),Country
"Rednecks, Red Letters, Red Dirt",Country
"You're On Your Own, Kid",Pop
Open Your Heart (Edit Version),Pop
Dead On Arrival,Pop
Rooftops (A Liberation Broadcast),Video game music
Dear Reader,Pop
Every Christmas,K pop
Jack Daniels,Country
Old School Love (feat. Ed Sheeran),Hip hop
Old School Love (feat. Ed Sheeran),Rap
Will You Love Me Tomorrow?,EDM
Will You Love Me Tomorrow?,Pop
Ignition (Remix),R&B
Ignition (Remix),Lofi
Foreplay / Long Time,Rock
That's What You Get,Pop
I Go Crazy (Single Version),Rock
Wear My Ring,Country
Faithful to the End (Live),Rap
The Lion Sleeps Tonight (Wimoweh),Pop
Beer Don't,Country
Young Kings,Hip hop
Young Kings,Rap
Grown Men Don't Cry,Country
If We've Ever Needed You,Pop
Family Feud,Country
Hard Workin' Man,Country
How Bad Do You Want It (Oh Yeah),R&B
How Bad Do You Want It (Oh Yeah),Latin
Fortunate Son,Rock
Turn to Stone,Rock
We Danced,Country
Sad Song (feat. Elena Coats),Rock
Hotel California,Rock
River of Deceit,Classical
Weekend (feat. Miguel),Hip hop
Eighteen Cool,Hip hop
Eighteen Cool,Rap
Blind to You,Hip hop
Blind to You,Rap
No Excuses,Rock
Nevertheless (I'm In Love With You) [feat. The Puppini Sisters],Pop
"Mary, Did You Know?",R&B
Frozen,Pop
The Little Girl (feat. Alison Krauss & Dan Tyminski),Country
Jumper,Metal
I Told You So,Country
Walk Away,Pop
Cherish (Edit Version),Pop
Unbelievable (2005 Remaster),Hip hop
Unbelievable (2005 Remaster),Rap
Best Life (feat. Chance the Rapper),Hip hop
Best Life (feat. Chance the Rapper),Rap
Lucid Dreams,Hip hop
Lucid Dreams,Rap
Pop,Pop
Help Me Hold On,Country
Spin the Black Circle,EDM
Sweet Talkin' Woman,Rock
It's The Hard-Knock Life,R&B
Mz. Hyde,Rock
Falling Away from Me,Metal
Have You Ever,Folk
Have You Ever,Jazz
Best of Me,R&B
Best of Me,K pop
One Million Bullets,Pop
Christmas (Baby Please Come Home),Classical
Thrash Unreal,Jazz
Trash Tongue Talker,Latin
"Blue Morning, Blue Day",Rock
Hey Ya (Live),Hip hop
Hey Ya (Live),EDM
The Killing Moon,Pop
Beating Heart Baby,Pop
I'm Out (feat. Nicki Minaj),R&B
I'm Out (feat. Nicki Minaj),Lofi
Broadway,Rock
Your Head Is On Fire,Latin
The Man,Pop
The First Noel,Latin
Friends We Won't Forget,Country
Hemorrhage (In My Hands),Rock
All I Care About,Country
Smoke On the Water,Rock
Bubblegum (feat. Tyga),Pop
While I'm Waiting,Gospel
Heaven (Candlelight Mix),Gospel
Mongrel Heart,R&B
Einstein,Pop
Why Don't You Try,Pop
Crash Into Me (Live),Rock
Starstruck,Rock
Honestly,Pop
Rapper's Delight,Hip hop
Rapper's Delight,Rap
Beautiful,R&B
Beautiful,EDM
Rebel Beat,Rock
Drunk Girl,Country
The Great Gig In the Sky,Rock
More Surprised Than Me,Country
You All Over Me (Taylor’s Version) [From The Vault] [feat. Maren Morris],Country
Don't Let the Old Man In (Radio Mix),Country
The Rising,Rock
Take Me With You When You Go,Hip hop
Hit the Floor (feat. Pitbull),Hip hop
Hit the Floor (feat. Pitbull),Rap
Beautiful Day,Pop
Found You,Country
Here Comes Your Man,Latin
Crushcrushcrush,Latin
Glitch,Pop
Lose It,Country
Fire It Up,Rock
Jireh (feat. Chandler Moore & Naomi Raine),Gospel
Roaring 20s,Classical
Elements,Jazz
M.I.A.,Rock
Cathedral,Rock
Whole Lotta Love,Rock
Money Bag,Hip hop
Money Bag,Rap
The Right Kind of Wrong,Rap
Bounce,Rock
(You Drive Me) Crazy (The Stop Remix!),Pop
Surfin' U.S.A.,Rock
Love 'Em All,R&B
Love 'Em All,Lofi
Sing,Pop
Lovin' on You,Country
Fu-Gee-La,Hip hop
Fu-Gee-La,Rap
The Race,Hip hop
The Race,Rap
Guinnevere,Rock
Heartbreak Hotel,Rock
Respect (2005 Remaster),Hip hop
Respect (2005 Remaster),Rap
Rooftops (feat. Curren$y),Hip hop
Rooftops (feat. Curren$y),Rap
California Girls,Rock
"Bills, Bills, Bills",R&B
"Bills, Bills, Bills",Classical
Pumpin Blood,Folk
White Lines (Long Version),R&B
White Lines (Long Version),Folk
You Make Me Feel Like Dancing,Rock
Blame It On Me,Country
One Love (People Get Ready) [Glee Cast Version],Pop
Holiday,Pop
Love and War,R&B
Love and War,Rap
Open Your Eyes,Rock
Cry for You,K pop
"Johnny, I Hardly Knew Ya",Rock
Mistaken for Strangers,Hip hop
"No Woman, No Cry",Hip hop
"No Woman, No Cry",Rap
Wavybone (feat. Juicy J x UGK),Hip hop
Wavybone (feat. Juicy J x UGK),Rap
American Woman,Rock
Dance You Outta My Head,Pop
Let Love In,Rock
Night Bird Flying,Rock
Wherever You Will Go,Rock
He Doesn't Know Why,K pop
Angels Among Us,Rock
Mustang Sally,R&B
Mustang Sally,Gospel
Tiger Mountain Peasant Song,Lofi
What I Need to Do,Country
Midnight Rain,Pop
Ambition (feat. Meek Mill & Rick Ross),Hip hop
Ambition (feat. Meek Mill & Rick Ross),Rap
I Move On,Folk
Somethin' Country,Country
I Don't Want to Live Without You,Rock
Little Motel,Country
You're a Jerk,Hip hop
You're a Jerk,Rap
Keeper of the Flame,Country
Show Me the Meaning of Being Lonely,Pop
No Good,Hip hop
Bang the Drum All Day,Rock
Knuck If You Buck,Hip hop
Knuck If You Buck,Rap
I Write the Songs,Hip hop
Coming Home,Rock
Weep Themselves To Sleep,Pop
(I'm Not Your) Steppin' Stone,Pop
Collie Man,Rock
Ooh La La,Rock
I Wish,Hip hop
I Wish,Rap
Problem,Pop
Love Is a Crime,Gospel
One of These Things First,EDM
In the Waiting Line,Latin
Ashes to Ashes (Single Version),Rock
Cars,Video game music
God Only Knows,Rock
Blue Eyes,Metal
Float,Classical
Nothing As It Seems,K pop
Buy Dirt (feat. Luke Bryan),Country
Fair,K pop
Winding Road,Lofi
Don't Panic,Folk
Such Great Heights,Pop
First Snow (Instrumental),Gospel
Bang the Drum All Day,Rock
Knuck If You Buck,Hip hop
Knuck If You Buck,Rap
I Write the Songs,Video game music
Coming Home,Rock
Weep Themselves To Sleep,Metal
(I'm Not Your) Steppin' Stone,Pop
Collie Man,Rock
Ooh La La,Rock
I Wish,Hip hop
I Wish,Rap
Problem,Pop
Love Is a Crime,Lofi
One of These Things First,Latin
In the Waiting Line,Rock
Ashes to Ashes (Single Version),Rock
Cars,R&B
God Only Knows,Rock
Blue Eyes,Country
Float,R&B
Nothing As It Seems,Country
Buy Dirt (feat. Luke Bryan),Country
Fair,EDM
Winding Road,Lofi
Don't Panic,Rock
Such Great Heights,Gospel
First Snow (Instrumental),Video game music
Caring Is Creepy,Folk
Class,Rock
Plowed,Rock
Save You,K pop
Past My Shades (feat. Lupe Fiasco),Hip hop
Past My Shades (feat. Lupe Fiasco),Rap
I Just Don't Think I'll Ever Get Over You,Jazz
New Slang,Metal
Let Go,Metal
I Need My Girl,EDM
Lebanese Blonde,Lofi
Gorilla,Pop
Tie Me Down (feat. Ray J),Hip hop
Tie Me Down (feat. Ray J),Rap
Don't Swallow the Cap,Gospel
Maroon,Pop
Need a Boat,Country
Fool for Love,Hip hop
A Long Walk,R&B
A Long Walk,Lofi
Return to Sender,Rock
Pom Poms,Pop
Loves Me Like a Rock,Pop
Bullet with Butterfly Wings,Rock
Bring Me to Life,Rock
Long Way 2 Go,R&B
Long Way 2 Go,Country
Step In the Name of Love (Remix),R&B
Step In the Name of Love (Remix),Lofi
Shelter from the Storm,Hip hop
Shelter from the Storm,K pop
I Got It Easy,Pop
We'll Be Alright,Pop
Fly Again,Rap
You're Gonna Miss Me When I'm Gone,Country
Finally Falling,Pop
BLOW,Pop
Mastermind,Pop
Snow On The Beach (feat. Lana Del Rey),Pop
Honest,Country
All I Have to Do Is Dream,Rock
Off-Set,Hip hop
Off-Set,Rap
You're Not There,Pop
Smoke A N***a (feat. Wiz Khalifa) [Explicit Version],Rap
O Holy Night,Rock
